country,year,world_rank,cwur_world_rank,cwur_national_rank,teaching,international,research,citations,num_students,student_staff_ratio,international_students,cwur_quality_of_education,cwur_alumni_employment,cwur_quality_of_faculty,cwur_publications,cwur_influence,cwur_citations,cwur_broad_impact,cwur_patents,cwur_score
USA,2014,497.57,497.57,153.58,33.06,48.77,28.96,60.66,20872.69,16.38,0.14,311.57,371.5,197.97,73332,60135,54419,61720,60924,45.96
USA,2015,510.72,510.72,154.83,32.76,48.37,28.95,60.16,20987.55,16.4,0.13,326.07,418.43,204.12,74363,61220,58271,63306,65696,45.42
Uganda,2014,891.0,891.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,915,708,609,832,737,44.0
Uganda,2015,869.0,869.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,882,656,645,809,871,44.0
United Arab Emirates,2014,924.0,924.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,983,821,800,897,426,44.0
United Arab Emirates,2015,950.0,950.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,521.0,218.0,994,851,812,906,689,44.0
United Kingdom,2012,179.85,181.31,28.27,35.15,76.92,35.93,60.59,17063.85,15.95,0.29,237.88,305.54,176.63,18571,16082,15536,17434,21120,47.85
United Kingdom,2013,176.31,178.08,26.4,39.87,76.49,41.04,69.42,16693.21,15.62,0.3,230.75,303.19,174.48,15941,13923,12787,14630,19018,48.71
United Kingdom,2014,284.46,403.74,32.28,34.02,72.33,33.3,65.27,17552.31,16.0,0.26,251.75,314.8,179.29,28229,24739,22895,25749,29214,48.45
United Kingdom,2015,322.17,419.14,32.77,34.56,72.83,34.33,66.35,17603.8,16.01,0.26,264.17,353.61,183.05,29027,25580,23176,27103,31534,47.91
United States of America,2012,144.21,136.7,61.89,47.35,34.98,44.81,71.32,24113.34,13.96,0.14,188.5,192.27,127.92,24705,22427,19817,24407,22255,51.89
United States of America,2013,148.86,140.41,57.46,51.08,38.23,48.22,76.44,24319.06,13.64,0.14,180.06,178.79,127.49,22451,20398,17752,22106,21555,51.92
United States of America,2014,147.66,183.61,64.06,46.67,41.26,42.85,76.72,24162.1,13.47,0.14,196.55,200.17,136.21,25139,21313,18981,21831,22022,56.21
United States of America,2015,149.16,180.21,60.65,47.07,44.47,44.03,77.44,24121.97,13.4,0.14,193.04,196.76,135.75,24807,21500,19365,21875,22539,56.01
Uruguay,2014,933.0,933.0,1.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,355.0,478.0,210.0,940,744,800,889,737,44.0
Uruguay,2015,867.0,867.0,66.0,33.8,51.4,30.35,62.6,20951.0,16.2,0.14,367.0,567.0,218.0,814,669,812,809,871,44.0
